iter	Passed	Remaining
0	61	61244
1	62	31092
2	62	20894
3	65	16214
4	65	13130
5	66	10964
6	66	9463
7	68	8455
8	68	7567
9	69	6854
10	69	6274
11	70	5789
12	73	5561
13	73	5196
14	74	4881
15	74	4604
16	75	4358
17	75	4141
18	76	3948
19	77	3773
20	77	3607
21	78	3488
22	78	3354
23	79	3226
24	79	3113
25	80	3003
26	80	2904
27	81	2815
28	81	2728
29	81	2646
30	82	2572
31	82	2500
32	83	2432
33	83	2368
34	83	2308
35	84	2251
36	84	2197
37	85	2162
38	85	2113
39	86	2077
40	87	2037
41	87	1999
42	88	1963
43	88	1927
44	89	1891
45	89	1860
46	90	1829
47	90	1796
48	90	1765
49	91	1734
50	91	1705
51	92	1677
52	92	1653
53	92	1628
54	93	1610
55	94	1588
56	94	1567
57	95	1545
58	95	1522
59	95	1501
60	96	1480
61	96	1460
62	98	1458
63	98	1440
64	98	1422
65	99	1405
66	99	1388
67	100	1371
68	100	1355
69	100	1339
70	101	1324
71	101	1309
72	101	1294
73	102	1280
74	102	1267
75	103	1253
76	103	1240
77	103	1228
78	104	1216
79	104	1204
80	105	1192
81	105	1181
82	105	1170
83	106	1159
84	106	1149
85	107	1138
86	107	1128
87	107	1118
88	108	1108
89	108	1098
90	109	1089
91	109	1080
92	110	1072
93	110	1065
94	111	1057
95	111	1050
96	111	1042
97	112	1034
98	112	1028
99	114	1030
100	114	1023
101	115	1015
102	116	1011
103	116	1006
104	117	999
105	117	993
106	118	985
107	118	978
108	118	971
109	119	964
110	120	966
111	120	959
112	121	952
113	121	945
114	122	939
115	122	932
116	122	927
117	123	922
118	123	916
119	124	910
120	124	904
121	124	897
122	125	891
123	125	885
124	125	880
125	126	874
126	126	869
127	127	865
128	127	860
129	127	854
130	128	849
131	128	844
132	128	839
133	129	834
134	129	830
135	129	825
136	130	820
137	130	817
138	131	812
139	131	808
140	131	803
141	132	799
142	132	794
143	132	790
144	133	786
145	133	781
146	134	777
147	134	773
148	135	772
149	135	769
150	136	766
151	136	763
152	137	759
153	137	756
154	138	752
155	139	754
156	140	751
157	140	747
158	140	745
159	141	742
160	141	739
161	142	736
162	142	733
163	143	730
164	143	727
165	144	724
166	144	720
167	144	718
168	145	715
169	145	711
170	146	708
171	146	705
172	146	702
173	147	698
174	147	695
175	148	693
176	148	690
177	149	688
178	152	698
179	152	695
180	153	693
181	153	691
182	155	695
183	156	692
184	162	717
185	164	718
186	164	716
187	165	713
188	171	737
189	172	734
190	172	730
191	179	753
192	179	750
193	183	760
194	183	757
195	184	754
196	184	753
197	185	749
198	185	747
199	186	744
200	186	742
201	187	739
202	187	736
203	188	733
204	188	730
205	188	728
206	189	725
207	189	723
208	190	720
209	190	718
210	191	714
211	191	712
212	192	709
213	192	707
214	192	704
215	193	702
216	193	698
217	194	696
218	194	693
219	195	691
220	195	689
221	196	686
222	196	684
223	197	682
224	197	680
225	197	677
226	198	675
227	198	672
228	199	670
229	199	668
230	200	666
231	200	664
232	201	661
233	201	659
234	201	657
235	202	654
236	202	652
237	203	650
238	203	648
239	203	645
240	204	643
241	204	641
242	205	639
243	205	636
244	206	634
245	206	632
246	206	630
247	207	628
248	207	626
249	208	624
250	208	622
251	208	620
252	209	618
253	209	616
